2015/08/24,2,028,2,134,2,001,2,001,32,900,2,001
2015/08/25,1,951,2,100,1,855,1,950,34,300,1,950
2015/08/26,1,950,2,100,1,950,2,095,11,000,2,095
2015/08/27,2,133,2,183,2,001,2,065,14,800,2,065
2015/08/28,2,082,2,134,2,082,2,126,11,600,2,126
2015/08/31,2,130,2,170,2,106,2,132,7,000,2,132
2015/09/01,2,125,2,125,2,060,2,062,11,500,2,062
2015/09/02,2,000,2,122,2,000,2,061,16,500,2,061
2015/09/03,2,050,2,080,2,050,2,050,5,400,2,050
2015/09/04,2,049,2,049,1,950,2,000,15,400,2,000
2015/09/07,1,925,2,000,1,903,1,938,7,800,1,938
2015/09/08,1,950,1,977,1,902,1,906,12,200,1,906
2015/09/09,2,000,2,083,1,981,2,070,19,800,2,070
2015/09/10,2,024,2,050,1,996,2,048,6,300,2,048
2015/09/11,1,998,2,030,1,998,2,008,9,400,2,008
2015/09/14,2,058,2,098,2,030,2,058,17,600,2,058
2015/09/15,2,015,2,058,2,000,2,039,10,700,2,039
2015/09/16,2,050,2,056,2,035,2,056,9,700,2,056
2015/09/17,2,056,2,099,2,051,2,064,9,100,2,064
2015/09/18,2,064,2,064,2,011,2,014,4,400,2,014
2015/09/24,2,000,2,028,1,990,2,028,2,100,2,028
2015/09/25,2,030,2,045,2,012,2,024,2,400,2,024
2015/09/28,2,011,2,080,2,011,2,080,3,800,2,080
2015/09/29,2,007,2,049,1,980,1,986,10,300,1,986
2015/09/30,2,040,2,100,2,040,2,089,12,200,2,089
2015/10/01,2,100,2,160,2,066,2,125,14,700,2,125
2015/10/02,2,125,2,181,2,099,2,111,16,300,2,111
2015/10/05,2,133,2,179,2,132,2,135,5,500,2,135
2015/10/06,2,135,2,168,2,124,2,145,5,000,2,145
2015/10/07,2,122,2,137,2,100,2,122,6,100,2,122
