2011/06/03,1,570,1,583,1,550,1,550,19,000,1,550
2011/06/06,1,545,1,545,1,525,1,533,15,600,1,533
2011/06/07,1,533,1,538,1,527,1,534,14,500,1,534
2011/06/08,1,533,1,564,1,530,1,560,13,400,1,560
2011/06/09,1,560,1,560,1,519,1,529,20,100,1,529
2011/06/10,1,569,1,570,1,531,1,540,60,900,1,540
2011/06/13,1,526,1,553,1,525,1,537,18,900,1,537
2011/06/14,1,545,1,577,1,543,1,561,42,500,1,561
2011/06/15,1,563,1,580,1,538,1,564,35,500,1,564
2011/06/16,1,561,1,561,1,526,1,526,16,600,1,526
2011/06/17,1,525,1,539,1,480,1,481,44,400,1,481
2011/06/20,1,486,1,535,1,486,1,507,19,900,1,507
2011/06/21,1,528,1,536,1,518,1,529,11,900,1,529
2011/06/22,1,536,1,574,1,534,1,565,24,200,1,565
2011/06/23,1,542,1,569,1,534,1,557,19,700,1,557
2011/06/24,1,588,1,588,1,536,1,540,22,600,1,540
2011/06/27,1,520,1,535,1,503,1,503,17,800,1,503
2011/06/28,1,503,1,525,1,496,1,502,18,000,1,502
2011/06/29,1,522,1,522,1,512,1,519,15,100,1,519
2011/06/30,1,520,1,520,1,500,1,516,40,200,1,516
2015/08/24,2,860,2,943,2,750,2,751,67,500,2,751
2015/08/25,2,621,2,801,2,577,2,632,70,400,2,632
2015/08/26,2,632,2,749,2,632,2,713,46,500,2,713
2015/08/27,2,784,2,794,2,707,2,717,32,200,2,717
2015/08/28,2,813,2,895,2,802,2,825,54,000,2,825
2015/08/31,2,825,2,825,2,752,2,768,78,700,2,768
2015/09/01,2,800,2,851,2,769,2,769,51,500,2,769
2015/09/02,2,740,2,896,2,720,2,795,102,200,2,795
2015/09/03,2,821,2,884,2,806,2,816,38,200,2,816
2015/09/04,2,855,2,864,2,773,2,796,46,100,2,796
2015/09/07,2,746,2,791,2,686,2,748,55,900,2,748
2015/09/08,2,731,2,773,2,691,2,699,41,100,2,699
2015/09/09,2,777,2,821,2,770,2,805,51,900,2,805
2015/09/10,2,760,2,820,2,740,2,813,41,800,2,813
2015/09/11,2,794,2,897,2,772,2,881,68,200,2,881
2015/09/14,2,900,2,945,2,813,2,859,37,000,2,859
2015/09/15,2,866,2,908,2,805,2,829,27,700,2,829
2015/09/16,2,879,2,927,2,863,2,907,52,200,2,907
2015/09/17,2,950,2,967,2,909,2,964,28,400,2,964
2015/09/18,2,914,2,942,2,871,2,877,31,500,2,877
2015/09/24,2,832,2,883,2,806,2,806,37,500,2,806
2015/09/25,2,870,2,900,2,835,2,898,39,200,2,898
2015/09/28,2,860,2,905,2,825,2,837,55,500,2,837
2015/09/29,2,768,2,834,2,712,2,712,65,900,2,712
2015/09/30,2,757,2,813,2,698,2,780,80,100,2,780
2015/10/01,2,814,2,816,2,733,2,780,54,800,2,780
2015/10/02,2,828,2,864,2,778,2,853,45,500,2,853
2015/10/05,2,887,2,889,2,834,2,853,19,800,2,853
2015/10/06,2,900,2,900,2,863,2,876,40,000,2,876
2015/10/07,2,879,2,879,2,697,2,714,146,500,2,714
2015/10/08,2,720,2,723,2,585,2,597,206,700,2,597
2015/10/09,2,617,2,713,2,617,2,695,83,700,2,695
